City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,dudinka,69.4058,86.1778,7.63,96,70,7.78,RU,1647836814
224,pantai remis,4.4557,100.6288,75.22,66,94,3.85,MY,1647836814
225,yarada,17.65,83.2667,88.12,66,28,2.3,IN,1647836814
226,fazilka,30.4,74.0333,88.25,15,0,6.26,IN,1647836815
227,talcahuano,-36.7167,-73.1167,58.68,88,100,8.05,CL,1647836815
228,grindavik,63.8424,-22.4338,32.47,80,75,6.91,IS,1647836815
229,valparaiso,-33.0393,-71.6273,61.48,65,0,4.61,CL,1647836611
230,alghero,40.5589,8.3181,42.89,87,0,3.44,IT,1647836816
231,yellowknife,62.456,-114.3525,27.41,80,40,9.22,CA,1647836816
232,buluang,13.3068,123.3425,87.49,65,100,1.25,PH,1647836816
233,nawada,24.8833,85.5333,96.71,16,6,4.12,IN,1647836817
234,baruun-urt,46.6806,113.2792,26.2,30,8,12.15,MN,1647836817
235,sioux lookout,50.1001,-91.917,35.67,48,20,5.75,CA,1647836817
236,roma,43.2128,-75.4557,39.81,96,0,5.75,US,1647836694
237,severnyy,50.677,36.5532,28.44,74,0,8.95,RU,1647836818
238,portland,45.5234,-122.6762,45.84,86,100,5.75,US,1647836622
239,telde,27.9924,-15.4192,61.02,59,75,11.5,ES,1647836818
240,maldonado,-34.6667,-54.9167,56.59,78,0,5.35,UY,1647836727
241,umarga,17.8333,76.6167,91.09,20,24,10.94,IN,1647836819
242,bathsheba,13.2167,-59.5167,77.61,73,20,20.71,BB,1647836819
243,mareeba,-17.0,145.4333,86.67,69,98,3.94,AU,1647836819
244,indramayu,-6.3264,108.32,83.71,71,100,5.84,ID,1647836820
245,ribeira grande,38.5167,-28.7,56.25,66,98,25.86,PT,1647836820
246,gweru,-19.45,29.8167,49.86,93,4,6.76,ZW,1647836820
247,wanaka,-44.7,169.15,73.11,46,100,4.88,NZ,1647836821
248,shenjiamen,29.9576,122.298,51.4,90,100,17.76,CN,1647836821
249,olafsvik,64.8945,-23.7142,33.67,65,100,7.99,IS,1647836821
250,tiarei,-17.5333,-149.3333,86.02,70,14,17.72,PF,1647836821
251,tarata,-17.6167,-66.0167,58.42,78,100,3.89,BO,1647836822
252,nara,34.6851,135.8049,55.9,38,100,5.5,JP,1647836822
253,klaksvik,62.2266,-6.589,45.52,91,100,17.36,FO,1647836823
254,manama,26.2154,50.5832,73.38,28,0,5.75,BH,1647836553
255,nanortalik,60.1432,-45.2371,11.1,77,3,7.83,GL,1647836823
256,novokizhinginsk,51.6115,109.5917,27.3,62,17,9.62,RU,1647836823
257,voyvozh,62.892,54.9635,22.57,91,100,12.1,RU,1647836824
258,coahuayana,18.7333,-103.6833,68.81,62,5,3.74,MX,1647836824
259,gisborne,-38.6533,178.0042,64.62,96,100,17.72,NZ,1647836824
260,baherden,38.4362,57.4316,48.2,49,100,7.09,TM,1647836825
261,taquari,-29.7997,-51.8644,55.89,82,0,3.42,BR,1647836825
262,london,51.5085,-0.1257,37.85,82,0,2.91,GB,1647836752
263,vallenar,-28.5708,-70.7581,66.9,66,0,1.5,CL,1647836644
264,severo-kurilsk,50.6789,156.125,30.96,92,100,41.41,RU,1647836638
265,airai,-8.9266,125.4092,76.78,52,90,1.66,TL,1647836826
266,pacific grove,36.6177,-121.9166,56.01,79,0,9.22,US,1647836636
267,pemangkat,1.1667,108.9667,81.54,73,99,1.03,ID,1647836819
268,sao filipe,14.8961,-24.4956,69.67,72,6,9.75,CV,1647836826
269,pevek,69.7008,170.3133,-1.3,84,65,3.2,RU,1647836826
270,khao wong,16.7001,104.0902,93.78,42,67,8.52,TH,1647836827
271,onalaska,43.8844,-91.2351,51.28,59,0,6.91,US,1647836827
272,kudahuvadhoo,2.6708,72.8944,83.21,73,100,13.53,MV,1647836827
273,port blair,11.6667,92.75,77.04,88,100,5.75,IN,1647836828
274,trapani,37.8333,12.6667,45.23,87,0,4.61,IT,1647836828
275,yuancheng,36.652,107.7896,47.68,62,100,7.78,CN,1647836828
276,guerrero negro,27.9769,-114.0611,58.26,72,4,20.74,MX,1647836829
277,dingle,10.9995,122.6711,88.61,61,82,13.04,PH,1647836829
278,yulara,-25.2406,130.9889,98.44,12,0,10.36,AU,1647836829
279,tautira,-17.7333,-149.15,82.29,71,24,16.2,PF,1647836830
280,pisco,-13.7,-76.2167,68.05,77,0,2.3,PE,1647836696
281,katsuura,35.1333,140.3,48.67,74,100,9.24,JP,1647836830
282,awjilah,29.1081,21.2869,48.25,64,16,14.32,LY,1647836830
283,narsaq,60.9167,-46.05,10.62,69,0,7.0,GL,1647836831
284,tromso,69.6496,18.957,44.62,42,0,33.38,NO,1647836831
285,kahului,20.8947,-156.47,77.02,78,75,10.36,US,1647836831
286,caravelas,-17.7125,-39.2481,75.22,87,48,3.31,BR,1647836832
287,khor,47.8861,134.9464,24.82,76,73,16.8,RU,1647836832
288,evensk,61.95,159.2333,34.52,76,100,33.17,RU,1647836653
289,cabo san lucas,22.8909,-109.9124,76.3,61,40,13.8,MX,1647836833
290,lorengau,-2.0226,147.2712,86.32,66,94,6.76,PG,1647836834
291,vao,-22.6667,167.4833,78.28,75,97,15.84,NC,1647836835
292,vardo,70.3705,31.1107,36.1,77,100,17.83,NO,1647836835
293,yeppoon,-23.1333,150.7333,85.78,62,18,10.78,AU,1647836835
294,berlevag,70.8578,29.0864,42.8,55,100,22.75,NO,1647836836
295,nsunga,-1.1439,31.3947,62.38,94,66,3.18,TZ,1647836836
296,port hardy,50.6996,-127.4199,42.98,87,100,25.32,CA,1647836836
297,margate,51.3813,1.3862,39.69,86,0,1.01,GB,1647836837
298,kabanjahe,3.1001,98.4908,75.29,62,97,6.2,ID,1647836837
299,santa cruz de la palma,28.6835,-17.7642,62.74,59,75,6.91,ES,1647836837
300,waipawa,-41.4122,175.5153,59.31,91,100,14.56,NZ,1647836838
301,palmer,42.1584,-72.3287,43.21,69,75,9.22,US,1647836838
302,te anau,-45.4167,167.7167,69.69,44,97,3.33,NZ,1647836839
303,sajanan,37.0573,9.2426,49.12,83,44,8.16,TN,1647836839
304,avera,33.194,-82.5271,51.39,61,0,6.44,US,1647836839
305,acarau,-2.8856,-40.12,77.54,85,99,7.49,BR,1647836839
306,karratha,-20.7377,116.8463,96.22,38,78,11.36,AU,1647836840
307,soyo,-6.1349,12.3689,79.02,85,98,5.95,AO,1647836840
308,volchikha,52.0333,80.3833,18.55,81,73,13.85,RU,1647836840
309,gladstone,-23.85,151.25,86.79,48,7,13.8,AU,1647836841
310,san marcos,33.1434,-117.1661,57.25,84,0,5.75,US,1647836841
311,camp verde,34.5636,-111.8543,47.25,62,73,4.56,US,1647836842
312,dubbo,-32.25,148.6167,84.33,32,40,5.75,AU,1647836842
313,kwekwe,-18.9281,29.8149,53.73,92,6,6.02,ZW,1647836842
314,alekseyevka,50.6309,38.6903,23.77,96,73,6.31,RU,1647836842
315,pacifica,37.6138,-122.4869,54.84,77,0,18.41,US,1647836715
316,dolores,-36.3132,-57.6792,51.71,77,38,7.09,AR,1647836843
317,alekseyevsk,57.8406,108.3492,26.71,87,100,14.7,RU,1647836843
318,dharchula,29.85,80.5333,76.62,19,18,2.42,IN,1647836843
319,caldas novas,-17.7417,-48.625,69.08,76,88,2.98,BR,1647836844
320,kenora,49.8167,-94.4337,40.17,56,75,10.36,CA,1647836844
321,port keats,-14.25,129.55,94.08,50,100,4.9,AU,1647836844
322,yambio,4.5721,28.3955,69.78,69,38,1.21,SS,1647836845
323,igrim,63.1906,64.4162,21.61,90,100,13.56,RU,1647836845
324,flin flon,54.7682,-101.865,30.56,89,100,11.59,CA,1647836845
325,fairbanks,64.8378,-147.7164,14.34,55,20,12.66,US,1647836548
326,bonthe,7.5264,-12.505,75.67,83,99,4.81,SL,1647836846
327,solnechnyy,50.7214,136.6319,23.63,68,63,7.38,RU,1647836846
328,mahebourg,-20.4081,57.7,83.25,100,75,0.0,MU,1647836847
329,constitucion,-35.3333,-72.4167,54.97,89,62,3.15,CL,1647836847
330,berdigestyakh,62.0989,126.6992,19.04,83,100,3.38,RU,1647836847
331,krasnyy chikoy,50.3643,108.7512,24.57,73,36,2.68,RU,1647836848
332,banjar,-8.19,114.9675,84.6,71,100,3.8,ID,1647836848
333,carberry,49.8689,-99.3602,37.63,91,100,11.07,CA,1647836848
334,russell,32.3502,-85.1999,50.97,79,0,0.0,US,1647836849
335,humberto de campos,-2.5983,-43.4611,75.22,93,98,4.0,BR,1647836849
336,ayan,56.45,138.1667,23.2,55,42,14.92,RU,1647836849
337,esperance,-33.8667,121.9,66.04,88,99,17.11,AU,1647836850
338,marawi,7.9986,124.2928,76.64,83,99,4.97,PH,1647836850
339,walvis bay,-22.9575,14.5053,66.09,94,58,3.44,NA,1647836850
